Year,IndicatorID,BreakOutCategoryId,BreakOutId,LocationID
2009,HC501,BOC02,GEN01,59
2009,HC501,BOC02,GEN02,59
2009,HC501,BOC03,AGE01,59
2009,HC501,BOC03,AGE04,59
2009,HC501,BOC03,AGE05,59
2009,HC501,BOC03,AGE06,59
2009,HC501,BOC03,AGE07,59
2009,HC501,BOC03,AGE08,59
2010,HC501,BOC01,OVR01,59
2010,HC501,BOC02,GEN01,59
2010,HC501,BOC02,GEN02,59
2010,HC501,BOC03,AGE01,59
2010,HC501,BOC03,AGE04,59
2010,HC501,BOC03,AGE05,59
2010,HC501,BOC03,AGE06,59
2010,HC501,BOC03,AGE07,59
2010,HC501,BOC03,AGE08,59
2011,HC501,BOC01,OVR01,59
2011,HC501,BOC02,GEN01,59
2011,HC501,BOC02,GEN02,59
2011,HC501,BOC03,AGE01,59
2011,HC501,BOC03,AGE04,59
2011,HC501,BOC03,AGE05,59
2011,HC501,BOC03,AGE06,59
2011,HC501,BOC03,AGE07,59
2011,HC501,BOC03,AGE08,59
2012,HC501,BOC01,OVR01,59
2012,HC501,BOC02,GEN01,59
2012,HC501,BOC02,GEN02,59
2012,HC501,BOC03,AGE01,59
2012,HC501,BOC03,AGE04,59
2012,HC501,BOC03,AGE05,59
2012,HC501,BOC03,AGE06,59
2012,HC501,BOC03,AGE07,59
2012,HC501,BOC03,AGE08,59
2013,HC501,BOC01,OVR01,59
2013,HC501,BOC02,GEN01,59
2013,HC501,BOC02,GEN02,59
2013,HC501,BOC03,AGE01,59
2013,HC501,BOC03,AGE04,59
2013,HC501,BOC03,AGE05,59
2013,HC501,BOC03,AGE06,59
2013,HC501,BOC03,AGE07,59
2013,HC501,BOC03,AGE08,59
2004,HC503,BOC01,OVR01,59
2004,HC503,BOC02,GEN01,59
2004,HC503,BOC02,GEN02,59
2004,HC503,BOC03,AGE01,59
2004,HC503,BOC03,AGE04,59
2004,HC503,BOC03,AGE05,59
2004,HC503,BOC03,AGE06,59
2004,HC503,BOC03,AGE07,59
2004,HC503,BOC03,AGE08,59
2005,HC503,BOC01,OVR01,59
2005,HC503,BOC02,GEN01,59
2005,HC503,BOC02,GEN02,59
2005,HC503,BOC03,AGE01,59
2005,HC503,BOC03,AGE04,59
2005,HC503,BOC03,AGE05,59
2005,HC503,BOC03,AGE06,59
2005,HC503,BOC03,AGE07,59
2005,HC503,BOC03,AGE08,59
2006,HC503,BOC01,OVR01,59
2006,HC503,BOC02,GEN01,59
2006,HC503,BOC02,GEN02,59
2006,HC503,BOC03,AGE01,59
2006,HC503,BOC03,AGE04,59
2006,HC503,BOC03,AGE05,59
2006,HC503,BOC03,AGE06,59
2006,HC503,BOC03,AGE07,59
2006,HC503,BOC03,AGE08,59
2007,HC503,BOC01,OVR01,59
2007,HC503,BOC02,GEN01,59
2007,HC503,BOC02,GEN02,59
2007,HC503,BOC03,AGE01,59
